name,page,text
963330_bijlagen.zip__concatenated,17,"26-mei-2011
55-09-0102

Gemeente Amsterdam
stadsdeel Centrum

Warmoesstraat 10

3 Algemene gegevens

3.1 Status van het pand

Het pand Warmoesstraat 10 behoort tot de categorie “Orde 2” panden.

Tot die categorie behoren bouwwerken van vóór 1940 die vanwege hun hoge
architectonische kwaliteit, hun plaats in de stedenbouwkundige structuur en/of als

toonaangevend element in de gevelwand, een belangrijke bijdrage leveren aan het
stadsbeeld.

3.2 Overzichtssituatie

3.3 Beschrijving van het pand

Het pand heeft een souterrain, een verhoogde begane grond, een eerste, een tweede,
een derde, een vierde en een vijfde verdieping.

3.4 Relatie tot belendingen

Het pand heeft links een gemeenschappelijke bouwmuur en rechts een eigen bouwmuur.

 

 

R
C1 B1 A1 C2 B2 A2 B5 A5 20 18 17

iÀ

[e>]
[ss]
[e>}
®}
e)
<
o
[ss]
e}
[®)
_
<
_
[es]
_
[®)
—
®}
a
°
[se]
)
[e>}
®}
)
—

16 11

the scale towards documen*” B

ceChart TE263 Serial No.

Image Engineering Scan Referen

 
"
892231__concatenated,36,
963330_bijlagen.zip__concatenated,235,"Retouradres: Postbus 202, 1000 AE Amsterdam

Warmoesstraat 10 I
1012JD AMSTERDAM
"
963330_bijlagen.zip__concatenated,159,"Overzicht bijgevoegde modulebladen

Aanvraaggegevens
Aanvragergegevens
Locatie van de werkzaamheden
Werkzaamheden en onderdelen

Overige veranderingen
« Bouwen

Bijlagen

Kosten

Pagina 3/10

OxxXx

Datum aanvraag: 3 juli 2013 Aanvraagnummer: 909757 Pagina 3 van 3
"
963330_bijlagen.zip__concatenated,110," 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

STRACKEE BV BOUWADVIESBUREAU werknummer: 912-096
berekeningnummer: 1
bladnummer: 24
6. PONS
TS/Construct Rel: 5.25 12 jun 2013
Project : warmoesstraat 10
Onderdeel : pons
Datum : 12/06/2013
Eenheden : kN/m/rad
Toegepaste normen volgens Eurocode met Nederlandse NB
Belastingen NEN-EN 1990:2002 cC2:2010 NB:2011{(nl)
NEN-EN 1991-1-1:2002 c1:2009 NB:2011(nl)
Beton NEN-EN 1992-1-1:2005 cC2:2010 NB:2011{(nl)
Pons. (B)
GEOMETRIE
Kolomvorm : Rechthoekig
Kolomsoort : Midden - onder de vloer
Betonkwaliteit : C30/37
Nuttige hoogte d [mm] : 370
Kolom
Breedte lastvlak ci [mnm]: 280 Lengte lastvlak co [mm]: 280
| |
l l
)
| IE
|
l l ke}
| | x
x
sookn | L | X Pagina 25/44
|
| of |
%' |  345kNm
L _âl=2eo‚ —
# 206kNm
WAPENING
Staalkwaliteit : B500A
Wapenings ratio piy : 0.006 Wapenings ratio p;i. 0.006
Radiale afstand sr [mm] : 277 Tangentiële afstand s [mm]: 555
Beugel diameter [mm] : 11 Hoek Q 90
BELASTING
Kracht Vzg [kKN]: 500.0
Moment Mra;y [kNm] : 345.0 Moment Mga; z [kNm] : 206.0
RESULTATEN
Ponsomtrek Vra,c VRd, max Vra Vra, s Asu/Sr Asu code
[mm] [N/mm] [N/mm? ] [N/mm? |_ [N/mm? ] [ram? /mm] _ [mm? ]
Uo 1120 n.v.t. 4.22 2.20 n.v.t. n.v.t. n.v.t
U1 5770 0.55 4.22 0.43 0.00 0.00 0 [42]
Opmerkingen

[ 42] Er is geen ponswapening nodig (vEd < vRd,c).

 

Berekening funderingsherstel Warmoesstraat 10 te Amsterdam

11 juli 2013
"
963330_bijlagen.zip__concatenated,48,"26-mei-2011
55-09-0102

Gemeente Amsterdam
stadsdeel Centrum

Warmoesstraat 10

4.5 Bodemgesteldheid en grondwaterstand

Bodemgesteldheid

De sondering 1 ter plaatse van de Warmoesstraat 16 geeft op NAP — 12,50 m een goede
eerste zandlaag aan met een dikte van 3,00 m.

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

2

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

3

tebehehrdiedetetedeeh

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

EE

ï 7 T
plaatstip e hièelrerrg

 

 

 

 

 

 

 

 

T

 

 

w
mantetwermag (…

| Warmooostrant 16-16a - 2,3}1 ""4 ""ap
*S 10.453
EA

 

 

 

 

 

 

 

 

 

 

Grondwaterstand

In de nabije omgeving van het pand zijn geen peilbuisgegevens aangetroffen. Echter
wordt er in de binnenstad van Amsterdam het grachtenwater op een niveau van NAP -
0,40 m gehouden. De grondwaterstand zal hier weinig van afwijken.

T!
30

t \“‘

iT

i
20

K

R

P

r

T

TT

T

t

T

o

T T
lo0

t

 

e M

10 09 03 02 01 C7 B7 A7 C8 B8 A8 C9 B9

C1 B1 A1 C2 B2 A2 B5 A5 20 18 17 16 11

Patch Reference numbers on UTT

the scale towards documep’ B

5
<
d:

e
# p

Image Engineering Scan Reference Chart TE263 Serial No.

 

 
"
963330_bijlagen.zip__concatenated,68,"Behoort bij de beschikking van
Het dagelijks bestuur van stadsdeel Centrum

 

NR: BWT 302083

Gemerkt 03 x Gemeente Amsterdam
x Stadsdeel Centrum

   

 

 

“-DOCCECE BUVITA

300 cm

 

Doosletter inwendig verlicht d.m.v. LED, diepte 6 cm, gemonteerd op kokerbalk van 5 x 2 cm

Omkasting doosletter is zwart, fondkleur is rood/wit/groen kokerbalk 5 x 2 c

  
      
 

  

 

   

S

&‘ letter 6 cm hout
l Ë““““Ê zijaanzicht
48 cm I_T2) AÌST Üâ beugel 2 cm ê . totaal 8 cm
ì 'o

bevestiging aan muur dmv RVS keilbouten

 

 

48 cm
dubbelzijdige lichtbak, 48 x 48 x 14 cm

Aluminium omkasting in zwart gespoten,
voorzien van belettering in zwart, groen, rood en wit

Voorzien van aluminium beugel, bevestigd met RVS keilbouten

 

 
"
892231__concatenated,21,"Gemeente Amsterdam November 2016
Intensivering maatwerk aan Eritrese statushouders binnen de Amsterdamse Aanpak Pagina 4 van 10

Inzet van klantmanagement met beheersing van Tigrinya
Sinds juli 2016 werkt de gemeente Amsterdam met dedicated klantmanagers statushouders.

Binnen dit team zijn klantmanagers werkzaam die ook Tigrinya spreken. Hiervoor is gekozen,
omdat Eritrese statushouders na huisvesting, op een enkel geval na, geen Engels of minimaal
Nederlands (durven te) spreken. Waar nodig kunnen klantmanagers een beroep doen op
professionals om te tolken. De dedicated klantmanagers hebben meerdere tools tot hun
beschikking om die ze kunnen inzetten voor de statushouder om zijn/haar empowerment te
bevorderen. Een aantal van deze tools zijn: Beweging en gezondheid, Coachproject jongeren,
Startmeter, Meedoen en ontmoeten, VIP-project VluchtelingenWerk NWN, Job coaching via
WB&R, Vrijwilligerswerk & Werk, Werkanalyse statushouders, Werkbrigade en Voortrajecten WPI.
Actie: reeds in uitvoering.

Doel: bevorderen empowerment statushouders door middel van klantmanagement.
Kosten: budgetneutraal, dekking binnen Aanpak Amsterdamse Statushouders.

Pilot Netwerk Eritrese statushouders faciliteren
Amsterdam maakt nog niet actief gebruik van het inzetten van (voormalige) vluchtelingen die al

langer in Nederland zijn (succesvolle Eritrese Amsterdammers) als sleutelfiguren of rolmodellen bij
knelpunten van Eritrese statushouders. De gemeente Utrecht faciliteert een initiatief waarbij
sleutelfiguren — Eritrese Utrechtenaren — een netwerk hebben opgezet dat zich inzet om Eritrese
vluchtelingen in samenwerking met vluchtelingenwerk te begeleiden. Dit doen ze vraaggericht en
op een laagdrempelige en speelse manier met diverse thema's waaronder huisvesting, wegwijs
maken in de Nederlandse samenleving, i.s.m. professionals voorlichting over preventie,
budgetbeheer, seksualiteit en opvoeding etc. Een goed voorbeeld/rolmodel, die de Eritrese
statushouders vaak niet kennen, doet goed volgen is de ervaring in Utrecht.

Het voorstel is om in Amsterdam onder leiding van SVAZ en in samenwerking met Eritrese
sleutelfiguren uit Amsterdam naar voorbeeld van Utrecht een netwerk voor Eritrese statushouders
op te zetten. Juist in deze combinatie van professionele en informele netwerken in wijken of
buurten, ligt een kans om participatie te vergroten en goed samenleven te versterken.

Er is niet gekozen om te werken met zelforganisaties, omdat de Eritrese statushouders
wantrouwiger zijn naar formeel georganiseerde organisaties zoals zelforganisaties. En de ervaring
in Amsterdam is dat SVAZ door Eritrese statushouders wordt ervaren als een veilige en
betrouwbare organisatie. Bovendien heeft SVAZ veel kennis over en ervaring met Eritrese
statushouders en sleutelfiguren. Ook als het gaat om individuen die mogelijk nog verbonden zijn
aan en actief zijn voor het regime in land van herkomst. Hiervoor dient te worden gewaakt. De
gemeente gaat dit onder andere na bij de IND.

Actie: faciliteren opzetten netwerk Eritrese statushouders, uitvoering beleggen bij SVAZ.
Doel: inspireren en motiveren statushouders om goede rolmodellen/sleutelfiguren te volgen.
Kosten: € 10.000

Trainingen Interculturele communicatie voor professionals
"
892231__concatenated,41," 

 

_
Yi & 144

Van: 44 d
Verzonden: 30nderdag 30 november 2017 16:26
Aan: _E

cc: i 9

Onderwerp: RE: vraag over Eritrese kerk Amstelveen
Het f

_ eneemt contact met je op hierover!
e

Van:, '

Verzonden: danderdag 30 november 2017 13:15
Aan iWE …m w
Onde weip: vraag over Eritrese kerk Amstelveen

————
Hat 4!
N

De Amstelveens Eritrese kerk heeft in gesprek gevraagd of de GGD voorlichting wil geven. Dit is dan in de
Augustinuskerk in Amsterdam waar ook veel statushouders uit Amsterdam komen.

Dat willen we wel doen..

_B adviseerde om even met jou contact op te nemen, ze dacht dat er wat issues zijn rondom deze kerk waardoor
samenwerking vanuit gemeente misschien niet gewenst is?

Mijn vraag aan jou is dan ook:
Is er reden om niet op dit verzoek in te gaan?

Vriendelijke groet,

—_— m _ s e -
PE
GGD Amsterdam

 

v 1
e á

Nieuwe Achtergracht 100, 1018 WT Amsterdam
ggd.amsterdam.nl

Werkdagen: ma, di, wo, do

GGD Amsterdam streeft naar optimale dienstverlening en zorgvuldige afhandeling van e-mailverkeer. Als
een e-mail niet voor u is bestemd, verzoekt de gemeente u vriendelijk ons van de juiste adressering op de
hoogte te stellen en de e-mail te verwijderen zonder de informatie te gebruiken en te delen met anderen.
Voor verdere informatie over de rechten op informatie, zie www.ggd.amsterdam.nl/proclaimer

 
"
892231__concatenated,24,
