names,labels,text,paths
Wob-besluit-inzake-Maatschap-en-Emvee-Uddel-B-V-2021-010710.html__concatenated,1.0,"provincie

GELDERLAND

Maatschap -
Markveldweg B
3888 MB UDDEL

Bezoekadres Postadres
Huis der Pravincie Posthus 9090
Markt 11 6800 GX Amhem

8811 CG Amhem

telefoonnummer (026) 359 91 11
telefaxnummer (026) 359 94 80
e-maiiadres pos!@gelderland.nl
intemetsite www.gelderiand.n!

datum zaaknummer

8 augustus 2014 2011-011667
onderwerp

Informatie m.b.t. uw vergunning ingevolge de
Natuurbeschermingswet, d.d.2 juli 2012

Geachte heer/mevrouw,

Hierbij berichten wij u inzake de door ons verleende vergunning met bovenvermeld
zaaknummer.

Op 7 maart 2013 heeft de bestuursrechter een uitspraak gedaan in een rechtszaak die ook voor
uw vergunning/regeling gevolgen heeft.

Uit deze uitspraak volgt dat wij de (ontwerp}vergunningen tussen 1 oktober 2011 en

27 september 2012 in strijd met de wet hebben gepubliceerd. Het gevolg hiervan is dat de
beroepstermijn van uw vergunning formeel niet is gestart. Dit betekent dat uw vergunning nog
steeds kan worden vernietigd mocht tegen uw vergunning op enig moment beroep worden
ingesteld.

Hierdoor biedt de door ons verleende vergunning niet de zekerheid die u van de vergunning mag
verwachten voor het uitvoeren van de vergunde activiteiten. Wij vinden dit vanzelfsprekend een
onwenselijke situatie.

Wij hebben er dan ook voor gekozen deze situatie te herstellen. In dat verband zullen wij uw
vergunning op 15 augustus 2014 opnieuw digitaal publiceren via de provinciale website
(www.gelderland.nl/actueel/bekendmakingen) en ter inzage leggen. Dit heeft tot gevolg dat de
beroepstermijn van uw vergunning formeel gaat lopen en uw vergunning — indien geen beroep
wordt ingesteld — in werking treedt en onherroepelijk wordt. Volledigheidshalve vermelden wij dat
er inhoudelijk niets verandert aan het definitieve besluit en ook de datum van het besluit blijft
onveranderd.

Indien derden-belanghebbende{(n) alsnog beroep tegen uw vergunning instellen, dan zullen wij
met u in contact treden voor overleg over de vervolgstappen. Wanneer u wilt weten of er beroep
tegen uw vergunning is ingediend, dan kunt u 7 weken na start van bovengenoemde ter inzage
termijn, contact opnemen met de Raad van State (tel.nr.: 070 — 426 44 26).

inlichtingen bij Provincieloket tsletoonnummer (026) 359 99 99

BNG Bank Den Haag. rekeningnummer 28.50.10.824
IBAN-nummer: NL74BNGH0285010824
BIC-code van de BNG: BNGHNL2G

emeiladres provincieloket@gelderland.nl

btw-nummer: NL001825100.B03

0000000107
",../images/1.0/Wob-besluit-inzake-Maatschap-en-Emvee-Uddel-B-V-2021-010710.html__concatenated_p_100.jpg
Tweede-deelbesluit-Wob-verzoek-beslaglegging-Archeodienst-aanvulling.html__concatenated,1.0,"(C]N]

Van: e ©1 holland.nl>
Verzonden: donderdag 8 september 2016 20:50

Aan:

Onderwerp: RE: Dag

Categorieën: B mee bezig

Hoi N

Dank voor je EN werk' EE

En ja, we zien wel hoe het verder gaat.

Groet,

m

Aan dit bericht en eventuele bijlagen kunnen geen rechten worden ontleend.

Het Provinciaal Bestuur van Noord-Holland.

\ar: e e >
Verzonden: donderdag 8 september 2016 19:56

Aan: e r ovincie-utrecht.nl;
CC

Onderwerp: Dag
Beste collega's
Ik ben weer thuis N AS uit Zevenaar van de lijst van de deurwaarder is meegenomen en in

bewaring gegeven in Nijmegen. Morgen gaan we alle vondsten uit Groningen (gelders project Bijsterhuizen ca 100 dozen
en monsteremmers) ophalen en dan gaan we weer verder zien hoe het juridische proces loopt.

Groet,
Disclaimer : http://www.gelderland.nl/?id=108550

0000000377
",../images/1.0/Tweede-deelbesluit-Wob-verzoek-beslaglegging-Archeodienst-aanvulling.html__concatenated_p_514.jpg
969284_mails_incl_bijlagen_3.zip__concatenated,1.0," 

Van: n

Verzonden: maandag 14 september 2020 12:51

Aan: n

CC: M .
Onderwerp: FW: De melding Sloopmelding Grimburgwal - 5448217 is

ingediend

De sloopmelding is gedaan in het Omgevingsloket.

Zoals je op de foto's kan zien, is het overgrote deel van de instabiele kade nu ook geruimd. Vandaag
zoeken duikers op de bodem van de gracht naar de laatste resten van de kademuur.

Groet,

Omgevingsmanager Kademuren

Gemeente Amsterdam

""
e

Weesperstraat 430, 1018 DN
Postbus 12693, 1100 AR Amsterdam

www.amsterdam.nl muren
Werkdagen: ma, di, do, vr

Op dit bericht is een proclaimer van toepassing: amsterdam.nl/proclaimer
",../images/1.0/969284_mails_incl_bijlagen_3.zip__concatenated_p_275.jpg
beslissing-op-wob-verzoek-wnb-groot-zevert-vergisting-en-rms-windvision.html__concatenated,1.0,"Deze tekening is alleen ter indicatie van de posities
van de onderdelen en niet voor de maatvoering

Gebo|:.:wen‚ bouwwerken en
installaties
nr.[ omschrijving opp. m.} | hoogte|capacteit
1 [silo vergister 930 65 [22st
2 |cilo vergister + buffer opslag biogad # 20 5 2et.
3 | silo opslag aanvoer drijfmest 922 65 [zst.
4 | parkeerplaats
5 | silo hygienisatie digestaat 922 65 |2st.
6 | mestontvangststation 275x19 [ss |-
6 [chauffeursruimte 625 |25 |-
7 | gasopwerkingsgebouw: 407135|9m |-
1008
7 | gesopwerkingsgebouw; 407%123|7m |-
& aag
g 8 | warmtekrachtkoppeling (WKK, 14 |12.5x2.5 |4 a
S 9 [koeli i 585 |4 2st.
> [io 'CO2 (vloeibaar) tank a 200ton 9x2 z 2st.
11 | ontsmettingsbak 1210 |- 3st.
12 | gastakkels /flaires (10mrondom [ 92 86 |2st,
x vrij houden)
13 | aansluiting blusvoorzieningen/ E 2st.
water
_ _ |14 |hoofdgebouw 52.6435.3 |- -
| 15 | zwavelzuuropslag 14400 |4 3 tankauto's
x x20m?
“_ | 16] buffersilo digestaat 98 4 200m?
17 42.2x11.5 | 14.5 -
18 | Iuchtwasinstallatie & 100 [chem. wasser+
actief koolfilter
19 | buffersilo gereinigd proceswater |98 4 200m?
20 | opstelplaats containers 5149376 |- max, 4m.
hoog
21 [ weegbrug 1533 - 2st. 70ton
22 | opslag dieselolie 3000L + 5x5/5x4 |- 3000L
x:nkpi::1s eigen materieel
23 | ontvangsthal co-producten 42.3x34.9 |9 -
24 | E-huisje / schakelruimte 139 35 [4x
25 | opvangreservoirs proceswater 8250m |- =
26 | calamiteitenroute < - -
27 | terreinafscheiding . 2 Keur:
antr. grijs
28|verbrandingsinstallatiedroger |- 15m |-
| 29 | opvangvoorziening calamiteiten am |-
| 30 [lozingspunt op de Laarbeek & ® &
31 | gecombineerde luchtwasser - us5 |-

@

VANWESTREENEN

PROJECT:

RMS Bioraffinage Laarberg
OPDRACHTGEVER:

RMS Groenlo B.V.
Varsseveldseweg 65d
7431 JA Lichtenvoorde

LOCATIE: Industrieterrein Laarberg te Groenlo

SCHAAL: 1:1250
GETEKEND: EK/EG
FORMAAT: A2

DATUM: _ 28-07-2020
WIJZIGING: -

ONDERDEEL:
Plattegrond en indeling

PROJECTNUMMER:
202007RMS Groenlo
d2

43436119
",../images/1.0/beslissing-op-wob-verzoek-wnb-groot-zevert-vergisting-en-rms-windvision.html__concatenated_p_0664.jpg
963310_files.zip__concatenated,1.0,"Van: n

   

 

 

Verzonden: woensdag 8 august 89:56

Aan:

Onderwerp: terras Hasselaersteeg

Bijlagen: exploitatievergunning Damrak 1 dd 26 juli 2018.pdf
Opvolgingsmarkering: Opvolgen

Markeringsstatus: Gemarkeerd

Op 28 juli 2018 heeft u een zienswijze ingediend, naar aanleiding van de publicatie van de aanvraag op 25 juli. Tot mijn
Spijt heb ik moeten concluderen dat er een fout is gemaakt met de publicatie. Deze aanvraag zou op 12 juli moeten zijn
gepubliceerd. De behandelend ambtenaar, mevrouw Kosedag ging er van uit dat ergeen zienswijzen waren ingediend en
heeft op 26 julijl. de vergunning verleend.

Vervolgens heb ikgezien dat —u op 31 juli een mail heeft gestuurd, maar daarin is verzuimd het
bovenstaande uit te leggen en een kopie van het besluit toe te voegen. U kunt eventueel nog bezwaar indienen tegen de
verleende vergunning. Deze sluit ik hierbij. In het besluit kunt u lezen hoe u bezwaar kunt indienen.

Als u nog vragen heeft, dan hoor ik het graag.
Met vriendelijke groet,

Senior-medewerker Maatwerkvergunningen
Centrum

Gemeente Amsterdam
Amstel1, 1011 PN Amsterdam
www.amsterdam.nl

 

Werkdagen: maandag t/m donderdag

Op dit bericht is een proclaimer van toepassing:

amsterdam.nl/proclaimer

Denkt u aan het milieu voordat u deze e-mail print?
",../images/1.0/963310_files.zip__concatenated_p_027.jpg
Beslissing-op-Wob-verzoek-omgang-met-de-Wob.html__concatenated,1.0,"To: @gelderland.nl]
From:

Sent: Mon 9/7/2020 8:01:21 AM

Subject: RE: DUTO-scan

Received: Mon 9/7/2020 8:01:21 AM

Prima -plan jij een gesprek in? Groet

var:

Verzonden: vrijdag 4 september 2020 18:00

2 e
|

CE:
Onderwerp: DUTO-scan

Beste
Samen met en B n o k mij bezig met de DUTO-scan. De DUTO-scan, gebaseerd op het DUTO-
normenkader dat is opgesteld door het Nationaal Archief, is een instrument dat wordt toegepast op informatie uit de organisatie met
als doel deze informatie duurzaam toegankelijk te maken. Dit in overeenstemming met 0.a. de Archiefwet en de AVG. Vidin

B de opcrachtgever van de DUTO-scan binnen de provincie, zijn wij in contact gekomen m' --
KE Z7ij gaven aan dat het wellicht een goed zou kunnen zijn als wij ook eens met jou bijpraten over de DUTO-scan, omdat jj
vanuit jouw rol en expertise op het gebied van de Wob een goed beeld hebt van de informatiehuishouding in de organisatie.
Daarnaast hadden zij het idee dat het Wob-team misschien ook interesse zou kunnen hebben in de DUTO-scan. |s het een idee om
binnenkort een afspraak in te plannen zodat we kort wat kunnen toelichten over de DUTO-scan, en we even kunnen kijken of we
daarin wat voor elkaar kunnen betekenen? Ik hoor het graag, en als je eerst nog vragen hebt dan hoor ik dat natuurlijk ook graag.
Met vriendelijke groet,

I&A Adviseur

sms of whatsapp _;o]dol'land.nl | www.gelderland.nl

werkdagen: maandag | dinsdag | woensdag | donderdag | vrijdag
= provincie

Gelderland

0000000054
",../images/1.0/Beslissing-op-Wob-verzoek-omgang-met-de-Wob.html__concatenated_p_39.jpg
969284_mails_incl_bijlagen_7.zip__concatenated,1.0," 

Van: n

Verzonden: donderdag 3 september 2020 18:15
Aan: —
Onderwerp: overleg met ON

Ik had al een overleg staan met ON di om 10 uur. Dit overleg is nu speciaal voor GBW.

Hier zij - - B Dĳ 22 wezig. Wil jij hier ook bij aanwezig zijn?

Met vriendelijke groet,

Projectleider Uitvoering/ Directievoerder UAV(gc)
Ingenieursbureau Amsterdam
Gemeente Amsterdam

:

 

Weesperstraat 420, 1018 DN
Postbus 12693, 1199 AR Amsterdam

amsterdam.nl/ingenieursbureau

 

 
",../images/1.0/969284_mails_incl_bijlagen_7.zip__concatenated_p_326.jpg
Wob-besluit-Windturbines-Wijchen-2021-009274.html__concatenated,1.0,"a

__

v Gemeente
B) (ĳ Wijchen
INTAKEFORMULIER RUIMTELIJKE INITIATIEVEN

Informatie initiatief

Omschrijving

Verzoek tot planologische medewerking aan Windpark Wijchen A-50, een windpark
van ca. 5 windturbines ten westen van de A50 en knooppunt Bankhoef,

boven en onder de hoogspanningslijn (zie bijlages voor Ëguur).

Het initiatief voor dit windpark wordt getrokken door Vereniging Windpark Wijchen
(lokale grondeigenaren, Windunie en investerende leden van Windunie) en

Energie Samen (landelijke coöperatie ter ondersteuning van lokale
energiecoöperaties).

Locatie
(adres of perceelnr.)

Direct ten westen van de A50 / Knooppunt Bankhoef. Exacte locaties nader te
bepalen in het vervolg van de ruimtelijke onderzoeken.
Zie bijlage voor nadere toelichting.

Nieuwe situatie: ….. m2 bebouwing; ….. m3 bebouwing

Wij verzoeken u tekeningen (situatieschets) en/of foto’s van het
initiatief toe te voegen.

Voorgeschiedenis

Oude situatie: …9….m? bebouwing; …. m3 bebouwing

Gegevens aanvrager

Aanvrager

Vereniging Windpark Wijchen Spoor-A50

Adres

Dorpsstraat 21

Postcode en plaats

6606 AC Niftrik

Contactpersoon

L

Telefoonnummer

06

E-mailadres

!@hotmail.com

Factuuradres (als dit afwijkt van gegevens aanvrager)

Naam

Zie gegevens aanvrager

Adres

Postcode en plaats

2020

0000000129
",../images/1.0/Wob-besluit-Windturbines-Wijchen-2021-009274.html__concatenated_p_002.jpg
967351_files_1.zip__concatenated,1.0,"x
x

Gemeente

 

 

 

 

 

12 mei 2020
Amste rd am Verslag MT Ruimte en Duurzaamheid
Pagina 1 van 4
Verslag MT Ruimte en Duurzaamheid
Datum: 12 mei 2020
Tijdstip: 09:00 — 11:00 UUr
Locatie: Via MS Teams
Aanwezigen: e
ZE
mm
Afwezig:
Voorzitter: |
Secretaris: n
Notulist: e @
Volgend MT: 19 mei 2020

Vaste agendapunten Status

o1) Opening, mededelingen en actualiteiten Besproken
02) Vaststellen verslag en actielijst Vastgesteld
03) Verslag MT R&E _

o4) Vooruitkijken MT R&E Besproken
05) Representaties _
Verkenningen

06) Bèta organisatie Besproken
07) De Nieuwe Meervaart Besproken
Besluitvorming

08) Onderzoek Groenketen Niet besproken
09) KABINET Akkoord
10) KABINET Akkoord
Ter kennisname

TK1) Agenda's Raad, commissies, college B&W en GMT TKN

TK2) Termijnagenda MT R&D TKN

Rondvraag en MT afsluiting

 
",../images/1.0/967351_files_1.zip__concatenated_p_072.jpg
Wob-besluit-inzake-SKP-2022-000108.html__concatenated,1.0,"% Tauw

Smurfit Kappa

Smurfit Kappa Parenco Emissiemetingen
K43/44 - 1e halfjaar 2020

20 mei 2020
",../images/1.0/Wob-besluit-inzake-SKP-2022-000108.html__concatenated_p_1596.jpg
